ADM_NM,정류소 개수
가덕도동,88
가락동,57
가야1동,33
가야2동,18
감만1동,40
감만2동,19
감전동,52
감천1동,44
감천2동,13
강동동,86
개금1동,27
개금2동,17
개금3동,42
거제1동,35
거제2동,50
거제3동,13
거제4동,15
광안1동,16
광안2동,20
광안3동,20
광안4동,14
괘법동,37
괴정1동,25
괴정2동,21
괴정3동,15
괴정4동,16
구서1동,36
구서2동,34
구평동,74
구포1동,27
구포2동,40
구포3동,33
금곡동,62
금사회동동,52
금성동,24
기장읍,222
남부민1동,13
남부민2동,17
남산동,54
남천1동,30
남천2동,10
남포동,15
남항동,44
내외동,41
녹산동,428
다대1동,93
다대2동,40
당감1동,32
당감2동,4
당감4동,34
당리동,43
대동면,86
대연1동,30
대연3동,66
대연4동,42
대연5동,29
대연6동,29
대저1동,123
대저2동,118
대청동,17
덕계동,11
덕천1동,30
덕천2동,30
덕천3동,17
덕포1동,20
덕포2동,30
동광동,6
동대신1동,10
동대신2동,19
동대신3동,32
동면,12
동삼1동,91
동삼2동,18
동삼3동,37
동상동,12
만덕1동,27
만덕2동,56
만덕3동,25
망미1동,49
망미2동,30
명륜동,52
명장1동,31
명장2동,44
명지1동,126
명지2동,64
모라1동,55
모라3동,20
문현1동,17
문현2동,20
문현3동,13
문현4동,35
민락동,29
반송1동,46
반송2동,25
반여1동,70
반여2동,16
반여3동,2
반여4동,32
범일1동,42
범일2동,28
범일5동,22
범천1동,16
범천2동,28
보수동,30
복산동,32
봉래1동,14
봉래2동,26
부곡1동,14
부곡2동,13
부곡3동,53
부곡4동,17
부민동,14
부암1동,36
부암3동,31
부원동,12
부전1동,52
부전2동,26
부평동,6
북부동,49
불암동,21
사직1동,24
사직2동,56
사직3동,26
삼락동,38
삼안동,24
상동면,47
서1동,10
서2동,15
서3동,17
서대신1동,31
서대신3동,24
서대신4동,26
서생면,11
서창동,25
선두구동,42
소주동,20
송정동,28
수민동,39
수영동,21
수정1동,6
수정2동,34
수정4동,14
수정5동,27
신선동,47
신평1동,30
신평2동,35
아미동,51
안락1동,27
안락2동,47
암남동,51
양정1동,54
양정2동,25
엄궁동,36
연산1동,13
연산2동,43
연산3동,32
연산4동,26
연산5동,15
연산6동,32
연산8동,13
연산9동,31
연지동,22
연초면,8
영선1동,22
영선2동,22
영주1동,7
영주2동,22
옥포1동,1
옥포2동,7
온천1동,48
온천2동,82
온천3동,57
용당동,37
용호1동,41
용호2동,33
용호3동,13
용호4동,12
우1동,35
우2동,46
우3동,11
우암동,52
웅동2동,54
일광읍,143
장림1동,53
장림2동,79
장목면,12
장안읍,123
장유1동,29
장유2동,4
장유3동,28
장전1동,19
장전2동,61
재송1동,66
재송2동,31
전포1동,64
전포2동,45
정관읍,194
좌1동,35
좌2동,33
좌3동,18
좌4동,26
좌천동,21
주례1동,45
주례2동,60
주례3동,35
주촌면,6
중1동,36
중2동,44
중앙동,22
철마면,91
청룡노포동,39
청학1동,20
청학2동,62
초량2동,14
초량3동,26
초량6동,14
초읍동,55
초장동,8
충무동,15
칠산서부동,3
평산동,18
하단1동,17
하단2동,41
학장동,63
화명1동,32
화명2동,50
화명3동,22
활천동,25
회현동,12
